(23.30489152641548, 73.05748750313086)
(45.29917899856601, 48.75357459890006)
(51.18246566767333, 61.83321971611879)
(74.73580577065604, 0.29505920201898794)
(38.789449866993465, 37.502845386983694)
(95.78502077788825, 65.67589285952016)
(98.81037695814283, 85.94310961485311)
(61.07072701878674, 45.003198420518274)
(94.74477632846774, 54.76280571391725)
(66.09758768967448, 79.00144745663627)
(48.93058850252324, 85.3049313615066)
(40.61786000625155, 69.62195409778823)
(63.71579387076548, 34.24387417507538)
(30.23239479995056, 48.93563066095719)
(27.173422113959177, 14.702413537410008)
(8.18704349872611, 85.48609009289709)
(60.99201581363201, 33.396115347935606)
(82.91579409706422, 57.85660088972906)
(67.29615996679115, 38.938283868999804)
(97.57844906682855, 90.14922965163547)
